width,height,thickness,Dep_start,Dep_end,x_shift,noise_level,thickness,amplitude,thickness_variation
256,999,2.4975,0,2.4975,0,0.1,5,5,0.05
256,998,2.495,2.4975,4.9925,0,0.1,5,10,0.05
256,998,2.495,4.9925,7.4875,0,0.1,5,15,0.05
256,999,2.4975,7.4875,9.985,0,0.1,5,20,0.05
256,999,2.4975,9.985,12.4825,0,0.1,5,25,0.05
256,982,2.455,12.4825,14.9375,0,0.1,10,5,0.05
256,993,2.4825,14.9375,17.42,0,0.1,10,10,0.05
256,983,2.4575,17.42,19.8775,0,0.1,10,15,0.05
256,993,2.4825,19.8775,22.36,0,0.1,10,20,0.05
256,984,2.46,22.36,24.82,0,0.1,10,25,0.05
256,987,2.4675,24.82,27.2875,0,0.1,15,5,0.05
256,967,2.4175,27.2875,29.705,0,0.1,15,10,0.05
256,977,2.4425,29.705,32.1475,0,0.1,15,15,0.05
256,987,2.4675,32.1475,34.615,0,0.1,15,20,0.05
256,967,2.4175,34.615,37.0325,0,0.1,15,25,0.05
256,951,2.3775,37.0325,39.41,0,0.1,20,5,0.05
256,961,2.4025,39.41,41.8125,0,0.1,20,10,0.05
256,971,2.4275,41.8125,44.24,0,0.1,20,15,0.05
256,981,2.4525,44.24,46.6925,0,0.1,20,20,0.05
256,952,2.38,46.6925,49.0725,0,0.1,20,25,0.05
256,936,2.34,49.0725,51.4125,0,0.1,25,5,0.05
256,946,2.365,51.4125,53.7775,0,0.1,25,10,0.05
256,956,2.39,53.7775,56.1675,0,0.1,25,15,0.05
256,967,2.4175,56.1675,58.585,0,0.1,25,20,0.05
256,977,2.4425,58.585,61.0275,0,0.1,25,25,0.05
256,999,2.4975,61.0275,63.525,0.25,0.1,5,5,0.05
256,998,2.495,63.525,66.02,0.25,0.1,5,10,0.05
256,998,2.495,66.02,68.515,0.25,0.1,5,15,0.05
256,999,2.4975,68.515,71.0125,0.25,0.1,5,20,0.05
256,999,2.4975,71.0125,73.51,0.25,0.1,5,25,0.05
256,983,2.4575,73.51,75.9675,0.25,0.1,10,5,0.05
256,992,2.48,75.9675,78.4475,0.25,0.1,10,10,0.05
256,983,2.4575,78.4475,80.905,0.25,0.1,10,15,0.05
256,994,2.485,80.905,83.39,0.25,0.1,10,20,0.05
256,984,2.46,83.39,85.85,0.25,0.1,10,25,0.05
256,987,2.4675,85.85,88.3175,0.25,0.1,15,5,0.05
256,967,2.4175,88.3175,90.735,0.25,0.1,15,10,0.05
256,977,2.4425,90.735,93.1775,0.25,0.1,15,15,0.05
256,987,2.4675,93.1775,95.645,0.25,0.1,15,20,0.05
256,967,2.4175,95.645,98.0625,0.25,0.1,15,25,0.05
256,951,2.3775,98.0625,100.44,0.25,0.1,20,5,0.05
256,961,2.4025,100.44,102.8425,0.25,0.1,20,10,0.05
